epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,344.283,1.1919,2.29009,0.02163,0.7939,0.73763,0.83522,0.62639,0.8515,0.76082,0.02028,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,600.948,1.22436,1.35365,0.02245,0.82965,0.87014,0.90026,0.66162,0.93713,0.5523,0.02289,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,832.278,1.2827,1.2983,0.02353,0.8459,0.83793,0.88277,0.64092,0.92851,0.58293,0.02288,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1053.5,1.28499,1.24917,0.02355,0.83257,0.87512,0.89976,0.68004,0.88734,0.50099,0.02121,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1274.57,1.23635,1.14699,0.02242,0.87059,0.84301,0.89497,0.69914,0.81831,0.46188,0.0194,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1492.86,1.20277,1.07469,0.02159,0.84379,0.90615,0.90761,0.70883,0.78611,0.42893,0.01841,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1716.44,1.16787,1.04125,0.02092,0.88637,0.86803,0.91452,0.72119,0.77556,0.40973,0.01852,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1940.7,1.14082,1.00055,0.02027,0.8548,0.90262,0.91053,0.727,0.75165,0.42029,0.01758,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2159.63,1.12078,0.98846,0.02,0.87612,0.88454,0.9201,0.74105,0.71785,0.40329,0.01668,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2382.39,1.11315,0.95108,0.01978,0.8922,0.92119,0.93235,0.7565,0.69899,0.38448,0.01633,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2607.61,1.08574,0.94187,0.0192,0.89624,0.88612,0.91566,0.75402,0.68139,0.35989,0.01553,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2829.7,1.07888,0.91598,0.01902,0.89926,0.91355,0.93238,0.76698,0.69288,0.33727,0.01601,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3051.6,1.05823,0.90548,0.01856,0.88906,0.92372,0.93627,0.7703,0.66555,0.34091,0.01514,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3272.5,1.04862,0.86987,0.01849,0.88907,0.91349,0.9303,0.77498,0.65655,0.33823,0.01495,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3503.55,1.04037,0.86463,0.01832,0.9045,0.91286,0.93043,0.7812,0.65672,0.33618,0.01518,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3725.21,1.02684,0.84646,0.01794,0.91033,0.90546,0.92952,0.78129,0.63701,0.32459,0.01448,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3947.96,1.01966,0.8475,0.01785,0.9158,0.91599,0.94434,0.78912,0.63912,0.32747,0.01444,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4170.37,1.01181,0.83331,0.01767,0.90743,0.92734,0.9365,0.78936,0.62543,0.32337,0.01415,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4392.85,1.00458,0.82184,0.01758,0.92817,0.91485,0.94481,0.79601,0.61712,0.31463,0.0139,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4612.71,0.99962,0.81292,0.0175,0.92266,0.91094,0.94857,0.8022,0.6183,0.30358,0.01387,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4834.75,0.98228,0.80735,0.01723,0.90245,0.92493,0.93848,0.79554,0.61451,0.30656,0.01387,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5059.06,0.97612,0.79078,0.017,0.92531,0.91914,0.94087,0.79813,0.60931,0.29991,0.01363,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5281.28,0.97606,0.77931,0.01693,0.92671,0.91327,0.93977,0.79762,0.60813,0.30105,0.01354,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5500.46,0.97305,0.77993,0.01693,0.91789,0.92787,0.94241,0.80082,0.60056,0.29952,0.01343,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5720.01,0.95452,0.76808,0.01662,0.91869,0.93353,0.94495,0.80448,0.59884,0.28961,0.01334,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5941.29,0.9499,0.76196,0.01643,0.94429,0.90586,0.94579,0.80851,0.5941,0.29051,0.01329,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,6162.31,0.95645,0.76026,0.0166,0.91868,0.92702,0.94829,0.80525,0.59617,0.28956,0.01337,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6379.76,0.94187,0.7507,0.01637,0.93327,0.92623,0.94923,0.80734,0.5928,0.2938,0.01323,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6603.29,0.93126,0.73922,0.01615,0.92174,0.92532,0.94771,0.80821,0.58748,0.29038,0.01303,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6827.35,0.91932,0.72703,0.01586,0.91818,0.92371,0.94706,0.80929,0.58796,0.29082,0.01302,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7055.53,0.91084,0.73187,0.01572,0.91324,0.91983,0.946,0.81105,0.58483,0.28344,0.01289,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7279.94,0.90821,0.72097,0.01568,0.93812,0.92319,0.94789,0.81315,0.58224,0.28025,0.01283,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7502.39,0.90205,0.70891,0.01558,0.94072,0.92007,0.94787,0.81301,0.58276,0.27864,0.01284,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7722.74,0.89115,0.69257,0.01538,0.94499,0.91586,0.94718,0.81343,0.57958,0.2818,0.0128,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7944.12,0.88665,0.70071,0.01533,0.94436,0.91335,0.94769,0.81322,0.57868,0.27966,0.01279,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8163.49,0.88132,0.7035,0.0152,0.92905,0.92733,0.94625,0.81191,0.57981,0.27928,0.01281,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8386.93,0.87299,0.6828,0.01496,0.92939,0.93095,0.94597,0.81173,0.57753,0.27631,0.01276,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8609.66,0.86028,0.67883,0.01481,0.92496,0.93186,0.9439,0.81043,0.57518,0.28016,0.01268,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
