fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.8267,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.8009,0.00639,0.01994,0.9319,0.0,3.74222,0.80316,7.5003,0.48879,1.2758,0.01188,0.69313,0.3931,0.0042,0.09088,0.53083,0.00111,0.001,0.0,0.50226,0.0,0.79549,0.00213,0.0,0.0,10
0.81283,0.00791,0.01307,0.95042,0.001,3.44268,0.80012,7.50643,0.49787,1.06523,0.00776,0.69803,0.40729,0.0,0.09697,0.4931,0.00667,0.0004,0.0,0.50936,0.0,0.99478,0.0,0.0,0.01722,10
0.81305,0.00985,0.01109,0.93877,0.001,3.46168,0.80014,7.50527,0.50001,0.84668,0.01253,0.75297,0.40682,0.0,0.09831,0.49342,0.00666,0.00022,0.0,0.36429,0.0,0.99984,0.00023,0.01525,0.0,10
0.81962,0.01,0.01,0.98,0.0,2.04654,0.78966,6.1963,0.63448,1.35444,0.02327,0.7234,0.40196,0.00927,0.10655,0.65351,0.00118,0.0,0.0,0.49796,0.00313,0.99591,0.00202,0.0,0.0,10
0.81909,0.00909,0.01,0.96685,0.0005,1.87561,0.77933,8.50943,0.62982,1.04209,0.01261,0.70072,0.39865,0.0,0.1062,0.60956,0.00568,0.00017,0.00333,0.39905,0.00214,0.86224,0.0,0.01828,0.00198,10
0.80881,0.01,0.01,0.96233,0.00091,2.18779,0.63668,6.46928,0.64057,1.5399,0.01331,0.75808,0.40571,0.0,0.10702,0.51229,0.00654,0.00019,0.00159,0.31061,0.00052,0.83992,2e-05,0.02056,0.00132,10
