epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.305,1.1302,5.36619,0.01491,0.59938,0.51983,0.56499,0.37491,1.18575,1.80011,0.02344,0.000407138,0.000407138,0.000407138
2,224.602,1.22472,2.13387,0.01654,0.66147,0.60103,0.6484,0.40584,1.37502,1.56944,0.02765,0.000794832,0.000794832,0.000794832
3,320.603,1.22789,1.93294,0.01661,0.83877,0.78948,0.85868,0.5922,1.11565,0.92516,0.02233,0.0009505,0.0009505,0.0009505
4,416.657,1.15354,1.72354,0.01534,0.8316,0.82261,0.89364,0.648,0.95491,0.76325,0.0178,0.00092575,0.00092575,0.00092575
5,512.693,1.1248,1.64605,0.0149,0.80298,0.83125,0.87413,0.67458,0.84147,0.74659,0.01541,0.000901,0.000901,0.000901
