epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1147,0.92864,4.87645,0.0148,0.78052,0.17826,0.12842,0.10215,0.95995,2.54887,0.02003,0.00333333,0.00333333,0.07
2,117.302,0.97416,2.4075,0.01532,0.83003,0.32923,0.31786,0.25301,1.05193,1.92477,0.02216,0.00624103,0.00624103,0.0394549
3,159.654,1.01475,1.76028,0.01608,0.34349,0.36675,0.31027,0.24786,1.18525,2.06001,0.02537,0.0086896,0.0086896,0.0086896
4,207.936,1.02288,1.55656,0.01646,0.3038,0.28223,0.28078,0.22449,1.16316,2.0203,0.0255,0.0080344,0.0080344,0.0080344
5,256.131,0.97794,1.36366,0.01538,0.34727,0.37505,0.3304,0.26522,1.09466,2.00132,0.0229,0.0073792,0.0073792,0.0073792
6,296.882,0.77655,0.85728,0.01753,0.34435,0.38501,0.31754,0.26061,1.04459,2.10849,0.02267,0.006724,0.006724,0.006724
7,337.382,0.70007,0.65013,0.01509,0.36195,0.3721,0.34766,0.28954,1.0124,2.07194,0.02062,0.0060688,0.0060688,0.0060688
8,379.25,0.64879,0.53092,0.01405,0.3484,0.37025,0.32187,0.27491,0.99668,2.29192,0.02056,0.0054136,0.0054136,0.0054136
9,423.838,0.60696,0.4517,0.01299,0.34465,0.38101,0.32261,0.27682,0.98119,2.23937,0.02052,0.0047584,0.0047584,0.0047584
10,466.155,0.57044,0.3938,0.01212,0.3603,0.3767,0.3314,0.28548,0.95749,2.20738,0.01979,0.0041032,0.0041032,0.0041032
11,513.612,0.54223,0.3489,0.01125,0.35436,0.38795,0.33309,0.28737,0.94238,2.28418,0.01931,0.003448,0.003448,0.003448
12,561.114,0.4966,0.31497,0.01029,0.35143,0.37746,0.32412,0.28382,0.91674,2.39781,0.01872,0.0027928,0.0027928,0.0027928
