epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,487.977,1.16836,2.21693,0.02129,0.82749,0.82777,0.88614,0.68481,0.78711,0.53722,0.01841,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,841.544,1.16925,1.22822,0.02139,0.8554,0.87751,0.9115,0.68994,0.83339,0.45514,0.01982,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,1152.93,1.25151,1.2061,0.02299,0.83379,0.85413,0.88807,0.63016,1.05734,0.52027,0.02739,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1449.16,1.26874,1.16697,0.02322,0.86839,0.86734,0.89889,0.69333,0.83932,0.44585,0.01969,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1745.41,1.2134,1.05627,0.02199,0.86887,0.88637,0.90867,0.71224,0.80198,0.39247,0.01888,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2042.53,1.1638,0.97972,0.02082,0.87034,0.9054,0.9279,0.73934,0.75112,0.37215,0.01769,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2339.14,1.12867,0.93144,0.02017,0.90223,0.90338,0.92994,0.75094,0.70278,0.33294,0.01643,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2635.31,1.10518,0.87277,0.01961,0.91783,0.9142,0.92141,0.75037,0.69564,0.31132,0.01604,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2931.97,1.08589,0.84162,0.01929,0.9105,0.91245,0.93096,0.75997,0.70345,0.30801,0.01644,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3229.05,1.06761,0.82151,0.01883,0.89758,0.95,0.94396,0.77692,0.67546,0.29774,0.01549,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3525.27,1.04836,0.79228,0.01839,0.91522,0.92733,0.9397,0.78144,0.64607,0.28605,0.01476,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3822.17,1.03697,0.77885,0.01821,0.9285,0.94229,0.95301,0.78527,0.64026,0.27493,0.01439,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4119.37,1.01879,0.76343,0.01777,0.93568,0.94518,0.94534,0.79615,0.62073,0.26137,0.01388,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4416.42,1.00525,0.74202,0.01758,0.93835,0.92935,0.93821,0.79057,0.61871,0.26258,0.01386,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4713.22,0.9941,0.75303,0.01735,0.90942,0.91337,0.92924,0.78341,0.61527,0.27357,0.01382,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5009.87,0.98838,0.74273,0.01717,0.93485,0.93987,0.9449,0.79878,0.60384,0.25759,0.01357,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5306.32,0.97639,0.71295,0.01693,0.9465,0.93202,0.95194,0.8085,0.59242,0.25365,0.01307,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5602.78,0.9682,0.71039,0.01678,0.93233,0.93422,0.94357,0.80301,0.59684,0.26064,0.01318,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5899.37,0.95306,0.70207,0.01656,0.94532,0.9398,0.94847,0.8141,0.57338,0.24963,0.01258,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6196.04,0.95499,0.67286,0.0166,0.94788,0.93455,0.94729,0.81532,0.57239,0.23992,0.01262,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6492.7,0.93688,0.66572,0.01626,0.95336,0.92354,0.94495,0.81379,0.56411,0.2431,0.01235,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6789.07,0.92412,0.6478,0.01589,0.93925,0.9367,0.94906,0.8201,0.56449,0.23911,0.01237,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7086.25,0.9169,0.64788,0.01571,0.94462,0.94276,0.94917,0.82017,0.55685,0.24754,0.01218,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7383.29,0.90629,0.65356,0.01553,0.95408,0.92832,0.9508,0.81871,0.55744,0.24434,0.01217,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7679.36,0.89733,0.63013,0.01546,0.93431,0.94309,0.95428,0.82053,0.55665,0.24646,0.01215,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,7976.28,0.88519,0.62952,0.01516,0.94815,0.93739,0.95815,0.82171,0.55276,0.25386,0.01213,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8272.72,0.88012,0.62949,0.01513,0.92793,0.9438,0.95365,0.82846,0.5474,0.25269,0.01196,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8568.56,0.86781,0.61448,0.01481,0.92948,0.94692,0.95608,0.83033,0.5527,0.24186,0.01207,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,8865.36,0.85833,0.59664,0.01472,0.9353,0.94091,0.95437,0.82865,0.54796,0.24546,0.01191,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9161.72,0.84232,0.58932,0.01432,0.94076,0.94268,0.95436,0.82803,0.54621,0.24194,0.01185,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,9458.21,0.83065,0.58409,0.01411,0.93326,0.94089,0.95568,0.82932,0.54289,0.24232,0.01179,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,9755,0.82731,0.5755,0.01404,0.94263,0.9429,0.95423,0.82789,0.54079,0.24403,0.01174,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10051.8,0.81282,0.56182,0.01373,0.94041,0.94328,0.95312,0.82838,0.5395,0.24023,0.01173,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10348.6,0.80072,0.54963,0.01358,0.94597,0.94544,0.95491,0.83072,0.53989,0.23727,0.01175,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10645.3,0.79435,0.55355,0.01344,0.94834,0.94875,0.95573,0.83011,0.53948,0.23636,0.01175,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10941,0.78307,0.55625,0.01322,0.94189,0.94669,0.95441,0.83043,0.54022,0.23088,0.01176,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11237.8,0.77238,0.53192,0.01296,0.94371,0.94595,0.95529,0.8322,0.53892,0.23078,0.01173,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11534.5,0.76032,0.51771,0.01283,0.94606,0.94497,0.95406,0.8309,0.53868,0.23052,0.01173,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11830.7,0.75009,0.5222,0.01263,0.94048,0.94695,0.95769,0.83354,0.53775,0.23053,0.01173,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12127.7,0.74023,0.51469,0.01244,0.94035,0.94738,0.95707,0.83181,0.53732,0.2311,0.01172,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,12424.3,0.61179,0.25807,0.01444,0.94245,0.94509,0.95632,0.8319,0.53629,0.22949,0.01168,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
