epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,521.936,1.17168,2.3286,0.0214,0.80907,0.86141,0.88334,0.67744,0.83638,0.53056,0.01976,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,909.281,1.17301,1.27341,0.02142,0.82441,0.85735,0.88066,0.66265,0.8873,0.5048,0.02187,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,1253.99,1.25547,1.26914,0.02295,0.87596,0.89186,0.9107,0.66453,0.9602,0.48096,0.02405,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1584.16,1.2784,1.21696,0.02345,0.87773,0.84744,0.90139,0.67995,0.85556,0.47441,0.02059,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1915.38,1.21495,1.10337,0.02202,0.85791,0.89842,0.89684,0.70325,0.80602,0.38953,0.01923,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2246.6,1.17881,1.01938,0.02115,0.9196,0.91495,0.92926,0.74055,0.73278,0.36039,0.01678,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2577.67,1.13369,0.96171,0.02019,0.89927,0.90551,0.92099,0.74806,0.73357,0.34587,0.01713,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2909.14,1.11309,0.90755,0.01975,0.89449,0.89523,0.91507,0.7596,0.69276,0.33143,0.01591,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3240.14,1.09389,0.8791,0.01943,0.90793,0.92787,0.9346,0.7742,0.6708,0.32592,0.01542,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3570.9,1.06788,0.861,0.01882,0.91861,0.92968,0.94889,0.78192,0.66992,0.29507,0.01516,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3901.48,1.05303,0.82525,0.01855,0.90846,0.93054,0.93837,0.7834,0.64882,0.30153,0.01494,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4232.16,1.0516,0.80866,0.01848,0.93337,0.91544,0.94082,0.7857,0.64133,0.2826,0.01451,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4563.33,1.0301,0.79448,0.01801,0.91808,0.91719,0.93126,0.78635,0.62701,0.27801,0.01422,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4894.54,1.01761,0.77118,0.01788,0.92642,0.9424,0.94611,0.79392,0.61318,0.27543,0.01365,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5225.88,1.00709,0.75552,0.01764,0.94049,0.92679,0.93765,0.7906,0.61755,0.26492,0.01404,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5556.76,0.99781,0.73337,0.01737,0.93039,0.93887,0.94669,0.80616,0.59784,0.25951,0.01331,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5887.48,0.98159,0.73895,0.01705,0.9418,0.9424,0.95017,0.8024,0.60285,0.26076,0.01344,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6217.79,0.96957,0.71928,0.01678,0.93564,0.94252,0.95151,0.81298,0.58562,0.24484,0.0129,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6548.17,0.96044,0.69797,0.01666,0.94503,0.93895,0.95255,0.81322,0.57713,0.24264,0.01274,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6879.08,0.95213,0.70497,0.01648,0.94825,0.94165,0.95375,0.81695,0.56859,0.25226,0.01247,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7209.52,0.93993,0.68827,0.01633,0.94293,0.93423,0.94617,0.80942,0.57195,0.2476,0.01261,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7539.79,0.92521,0.66551,0.01589,0.95229,0.94212,0.95114,0.81517,0.56423,0.2388,0.01239,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7868.87,0.91708,0.66623,0.01575,0.94387,0.93529,0.9472,0.81563,0.56034,0.24287,0.01234,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,8198.85,0.91302,0.65375,0.01564,0.92731,0.94628,0.95146,0.8188,0.55676,0.24152,0.01214,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8528.7,0.89359,0.63957,0.01538,0.95835,0.93053,0.95341,0.8208,0.55816,0.24413,0.01222,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8859.47,0.88725,0.63274,0.01518,0.95252,0.93517,0.95496,0.82296,0.5528,0.24395,0.0121,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,9190.79,0.88095,0.63205,0.01505,0.95978,0.93325,0.95366,0.82534,0.54299,0.2385,0.01183,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,9521.83,0.86767,0.60621,0.0148,0.96469,0.9381,0.95325,0.82415,0.54621,0.23868,0.01191,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9852.38,0.85836,0.59494,0.01466,0.95386,0.93901,0.95337,0.82705,0.5449,0.23335,0.01185,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10183.2,0.84261,0.59062,0.01434,0.95009,0.93926,0.95445,0.82541,0.54166,0.23698,0.01179,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,10513.7,0.83332,0.58722,0.01415,0.95192,0.94189,0.95655,0.82853,0.53863,0.23368,0.01169,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,10844,0.82808,0.58298,0.01408,0.94955,0.9426,0.95527,0.83013,0.5359,0.23594,0.01163,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11174.5,0.82194,0.58683,0.01399,0.95319,0.93958,0.95521,0.8314,0.5336,0.23583,0.01161,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11505.1,0.80812,0.573,0.01377,0.95197,0.94033,0.9545,0.83213,0.533,0.23972,0.01159,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,11835,0.80746,0.57035,0.01373,0.9432,0.93412,0.95163,0.83372,0.53197,0.2469,0.01158,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12165,0.79456,0.56429,0.01354,0.94077,0.93263,0.95018,0.83089,0.53067,0.24801,0.01157,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
