epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,416.438,1.15315,2.19064,0.02092,0.85097,0.78536,0.87063,0.67088,0.85858,0.56526,0.02099,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,722.202,1.16564,1.20523,0.02127,0.8084,0.85203,0.88326,0.68199,0.8181,0.53948,0.01975,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,992.803,1.2316,1.15686,0.02251,0.82582,0.86795,0.88684,0.66367,0.90419,0.47173,0.02214,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1250.77,1.23854,1.06331,0.02256,0.85404,0.88597,0.91408,0.71327,0.83305,0.41474,0.02011,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1508.8,1.1943,0.97082,0.02163,0.86755,0.88961,0.904,0.71842,0.79162,0.36227,0.01871,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1766.83,1.14661,0.9087,0.02046,0.89406,0.90281,0.91882,0.73974,0.72067,0.35074,0.01681,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2025.07,1.10661,0.87085,0.01965,0.91011,0.92003,0.9413,0.75953,0.72087,0.32321,0.01693,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2283.48,1.09409,0.82942,0.01934,0.92576,0.91509,0.93694,0.76153,0.70909,0.3239,0.01654,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2542.12,1.07322,0.80676,0.01899,0.92874,0.92814,0.94701,0.77909,0.68264,0.29258,0.01569,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2800.88,1.06119,0.78367,0.01868,0.91311,0.91945,0.93593,0.77518,0.66813,0.30518,0.01534,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3058.93,1.03467,0.76267,0.01812,0.94057,0.92423,0.9443,0.7856,0.64318,0.27878,0.01452,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3317.51,1.02898,0.74658,0.018,0.92834,0.94001,0.95098,0.79634,0.62943,0.26738,0.01415,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3576.14,1.01367,0.73326,0.01764,0.93702,0.91738,0.94445,0.79197,0.62386,0.2693,0.01401,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3834.11,1.00124,0.72431,0.01753,0.94529,0.92221,0.94705,0.80284,0.61488,0.26975,0.01369,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4092.51,0.99001,0.71974,0.01727,0.93583,0.9252,0.9426,0.7971,0.61915,0.27185,0.01395,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4350.52,0.9868,0.68894,0.01714,0.93441,0.93488,0.94895,0.80655,0.59516,0.25894,0.01317,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4608.69,0.96979,0.69661,0.01679,0.9462,0.93112,0.95253,0.80975,0.59531,0.262,0.01329,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4866.87,0.96177,0.69739,0.01655,0.94245,0.93265,0.95237,0.81105,0.5873,0.24952,0.01298,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5125.32,0.95065,0.68126,0.0165,0.95486,0.93012,0.95602,0.81554,0.5841,0.24519,0.01286,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5383.67,0.94722,0.66875,0.01638,0.94337,0.92759,0.95352,0.82379,0.57285,0.23871,0.01254,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5642.27,0.93833,0.66225,0.01629,0.94035,0.93125,0.94863,0.81826,0.57425,0.24574,0.01269,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5900.66,0.92358,0.64631,0.01592,0.94665,0.92281,0.94913,0.8227,0.57087,0.24306,0.0125,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6158.96,0.91993,0.64539,0.01582,0.95112,0.92454,0.94503,0.82022,0.57051,0.24126,0.01262,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6417.21,0.91063,0.64751,0.01564,0.94133,0.93954,0.95171,0.82257,0.56357,0.2388,0.01236,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6675.58,0.90285,0.63145,0.01553,0.95165,0.92569,0.9519,0.82432,0.55843,0.23941,0.01225,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6933.87,0.88978,0.62819,0.01525,0.95353,0.92246,0.95453,0.82854,0.55399,0.2392,0.01208,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7192.52,0.88858,0.63803,0.01523,0.95039,0.93217,0.95435,0.82918,0.5501,0.23777,0.012,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7450.44,0.87691,0.61083,0.01494,0.94246,0.94228,0.95698,0.83191,0.55202,0.23331,0.0121,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,7709.19,0.86608,0.60899,0.01483,0.95553,0.92374,0.95578,0.83015,0.55096,0.24406,0.01206,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7968.59,0.85526,0.60233,0.01458,0.95514,0.92823,0.95456,0.83242,0.54574,0.24125,0.01194,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8227,0.84707,0.5961,0.01442,0.95837,0.92823,0.95581,0.83143,0.54546,0.24126,0.0119,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8486.07,0.84771,0.58858,0.01449,0.94463,0.93022,0.95911,0.83082,0.54626,0.24266,0.01194,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8744.59,0.83169,0.58444,0.01414,0.94607,0.94034,0.9575,0.83099,0.54491,0.23873,0.01193,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9003.19,0.82176,0.57134,0.01399,0.95222,0.93645,0.95975,0.8327,0.54464,0.23981,0.0119,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9262.55,0.81954,0.56557,0.01392,0.95644,0.93924,0.95928,0.83226,0.54554,0.23731,0.01192,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9521.5,0.81209,0.56336,0.01384,0.95466,0.93744,0.95805,0.83255,0.54427,0.23604,0.0119,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9780.4,0.80201,0.55466,0.01356,0.96115,0.93082,0.95916,0.83319,0.54202,0.23893,0.01184,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10039.2,0.78952,0.54351,0.01339,0.95685,0.93567,0.95937,0.83512,0.54303,0.23481,0.01185,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10297.8,0.7804,0.5483,0.01318,0.93908,0.94395,0.95754,0.83402,0.54153,0.23785,0.01184,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10556.1,0.7737,0.53822,0.0131,0.94289,0.94365,0.95961,0.83601,0.5409,0.2371,0.01183,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10813.2,0.63282,0.26047,0.01504,0.94855,0.94259,0.9592,0.83636,0.54062,0.23646,0.01184,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11069,0.61988,0.25217,0.0147,0.94259,0.94197,0.95926,0.83648,0.54002,0.23629,0.01184,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11324,0.59991,0.24266,0.01411,0.94708,0.93973,0.95923,0.83775,0.53814,0.23559,0.0118,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11579,0.58604,0.23575,0.01375,0.951,0.94113,0.95782,0.83691,0.53774,0.23608,0.01179,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11833.8,0.57449,0.22972,0.01344,0.94985,0.94384,0.9586,0.83787,0.53588,0.2364,0.01173,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12089.1,0.56071,0.22192,0.01311,0.95306,0.9452,0.95879,0.83838,0.53505,0.23553,0.01172,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12344,0.55087,0.21781,0.01284,0.95211,0.94333,0.95864,0.83901,0.53482,0.23557,0.01172,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12598.9,0.54218,0.21468,0.01269,0.95182,0.94347,0.95835,0.83913,0.53397,0.23801,0.0117,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12853.7,0.53182,0.21054,0.01237,0.95225,0.94384,0.95821,0.83848,0.53373,0.23673,0.01169,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13108.7,0.52398,0.20709,0.01218,0.95123,0.94387,0.95757,0.83889,0.53334,0.23986,0.01169,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
