epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4845,1.05354,4.77579,0.01498,0.44194,0.26937,0.27345,0.21647,1.03566,2.77213,0.01869,0.00217459,0.00217459,0.0804287
2,109.365,1.10446,2.2003,0.01578,0.3596,0.31198,0.33222,0.24816,1.29534,2.84144,0.02472,0.0040717,0.0040717,0.0605019
3,150.666,1.1399,1.86207,0.01611,0.36185,0.35116,0.32119,0.23961,1.42429,2.97767,0.02744,0.00568304,0.00568304,0.0402894
4,191.444,1.13934,1.6962,0.01598,0.36099,0.31203,0.33538,0.24221,1.27403,2.72934,0.02405,0.00700859,0.00700859,0.0197911
5,231.666,1.10129,1.53696,0.01546,0.39044,0.36083,0.32499,0.24946,1.8211,3.32189,0.04177,0.00738101,0.00738101,0.00738101
6,272.143,1.07979,1.45411,0.01498,0.37397,0.36948,0.31436,0.23554,1.63579,3.21812,0.03465,0.00672627,0.00672627,0.00672627
7,315.416,0.83358,0.57873,0.01636,0.38374,0.34332,0.33745,0.26732,1.49887,3.54248,0.03117,0.00607152,0.00607152,0.00607152
8,355.159,0.79021,0.47003,0.01521,0.36316,0.36292,0.3147,0.25704,1.15672,3.34112,0.02132,0.00541677,0.00541677,0.00541677
9,399.644,0.74537,0.41714,0.01418,0.35534,0.39271,0.32823,0.26711,1.13403,3.14613,0.02123,0.00476203,0.00476203,0.00476203
10,446.162,0.70921,0.38295,0.01343,0.3628,0.38632,0.32731,0.26193,1.22279,3.35033,0.0234,0.00410728,0.00410728,0.00410728
11,491.589,0.6797,0.34871,0.01274,0.37656,0.34216,0.32603,0.2772,1.08636,3.43498,0.01966,0.00345253,0.00345253,0.00345253
12,536.674,0.64041,0.31636,0.01194,0.35574,0.37971,0.34123,0.28587,1.08967,3.49951,0.01971,0.00279779,0.00279779,0.00279779
13,575.98,0.61323,0.30255,0.01133,0.36823,0.37293,0.33365,0.28448,1.02106,3.45744,0.01789,0.00214304,0.00214304,0.00214304
14,615.401,0.58337,0.28088,0.01068,0.3704,0.37395,0.34203,0.29802,0.99391,3.43479,0.01754,0.00148829,0.00148829,0.00148829
15,654.608,0.56155,0.27028,0.01027,0.36998,0.36851,0.33335,0.28738,1.01396,3.27832,0.01785,0.000833547,0.000833547,0.000833547
