epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1111,0.86813,4.48589,0.03027,0.78009,0.171,0.11818,0.09235,0.76829,1.9221,0.03269,0.00241558,0.00241558,0.0782597
2,111.034,0.89118,2.30226,0.03054,0.82802,0.31138,0.30467,0.24122,0.9054,1.55381,0.03908,0.0045204,0.0045204,0.0561221
3,152.858,0.94026,1.47193,0.03221,0.32332,0.32627,0.3294,0.22332,1.16889,1.45552,0.05407,0.00630521,0.00630521,0.0336645
4,194.265,1.02206,1.30133,0.03579,0.32411,0.31806,0.31389,0.22112,1.17493,1.64318,0.05399,0.00777003,0.00777003,0.0108869
5,235.505,1.114,1.21127,0.03992,0.24616,0.23093,0.21514,0.14216,1.33748,3.00677,0.06359,0.00736,0.00736,0.00736
6,276.861,0.91284,0.56796,0.04331,0.15525,0.10064,0.09125,0.04368,2.06039,3.65673,0.11689,0.0067,0.0067,0.0067
7,317.884,0.85839,0.44675,0.03938,0.37664,0.32925,0.33969,0.25209,1.39526,2.36267,0.06722,0.00604,0.00604,0.00604
8,362.304,0.81948,0.36765,0.03747,0.34999,0.3438,0.31485,0.23031,1.35612,1.93145,0.06304,0.00538,0.00538,0.00538
9,402.546,0.76267,0.33054,0.03449,0.34502,0.34069,0.30098,0.22095,1.25856,2.30839,0.05673,0.00472,0.00472,0.00472
10,442.706,0.7294,0.29018,0.03264,0.36255,0.37455,0.35151,0.26089,1.20023,2.00621,0.05259,0.00406,0.00406,0.00406
11,487.592,0.69268,0.25205,0.0308,0.3587,0.35817,0.33518,0.2604,1.03855,2.0023,0.04503,0.0034,0.0034,0.0034
12,534.982,0.65662,0.23571,0.02899,0.38358,0.35435,0.36968,0.29728,1.1964,2.30739,0.05687,0.00274,0.00274,0.00274
13,578.554,0.63689,0.21493,0.02807,0.37883,0.33382,0.35545,0.28525,1.07529,2.22933,0.04729,0.00208,0.00208,0.00208
14,623.596,0.59015,0.20257,0.02571,0.36792,0.34679,0.32391,0.27363,0.97051,2.23557,0.04165,0.00142,0.00142,0.00142
15,671.067,0.56986,0.19337,0.02463,0.37364,0.35243,0.35286,0.29906,0.94514,2.23938,0.0396,0.00076,0.00076,0.00076
