epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9248.34,0.80607,0.56085,0.01369,0.94917,0.94941,0.95943,0.8305,0.54125,0.23845,0.0118,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9529.51,0.79176,0.55857,0.01337,0.9423,0.94854,0.9552,0.82961,0.53963,0.24139,0.01176,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9810.71,0.78326,0.54265,0.01326,0.94886,0.93796,0.95396,0.82963,0.53913,0.24287,0.01177,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10092.2,0.77886,0.54232,0.01313,0.9477,0.93825,0.95447,0.83002,0.53917,0.24193,0.01178,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10373.4,0.76953,0.54055,0.01304,0.94563,0.93811,0.95448,0.82876,0.53809,0.24168,0.01175,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10654.5,0.76223,0.52168,0.0128,0.96635,0.92887,0.95751,0.83016,0.53728,0.24159,0.01173,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10936.6,0.75211,0.51107,0.01266,0.96731,0.93115,0.95733,0.83156,0.53593,0.23871,0.01171,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11217.5,0.74217,0.51262,0.01251,0.96738,0.93039,0.95741,0.83281,0.53397,0.2413,0.01167,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11498.8,0.7326,0.50798,0.01233,0.96158,0.92573,0.95654,0.83198,0.53386,0.23947,0.01165,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11778.4,0.5977,0.25901,0.01414,0.96283,0.92786,0.9567,0.83363,0.53321,0.23646,0.01164,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,12056.5,0.57952,0.24663,0.01368,0.95988,0.9265,0.9565,0.83281,0.53267,0.23829,0.01162,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12334.3,0.56786,0.23769,0.01337,0.95103,0.93027,0.95532,0.83257,0.5315,0.2375,0.0116,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12612.5,0.55392,0.2303,0.01294,0.9531,0.93349,0.95644,0.8339,0.53237,0.23336,0.01162,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12890.5,0.54341,0.22839,0.0127,0.94752,0.93119,0.95674,0.83483,0.53227,0.23824,0.01161,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,13168.8,0.52567,0.2206,0.01228,0.9477,0.93918,0.95714,0.83565,0.53223,0.23644,0.01161,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,13447.3,0.51804,0.21527,0.01205,0.94422,0.94101,0.95626,0.83557,0.53145,0.237,0.01159,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13725.4,0.50957,0.20976,0.01188,0.94711,0.94172,0.95649,0.83575,0.53058,0.23657,0.01158,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,14003.8,0.49891,0.20525,0.01159,0.94851,0.94179,0.9568,0.83667,0.53045,0.23638,0.01158,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,14281.8,0.49058,0.20277,0.01136,0.94753,0.93996,0.95663,0.83689,0.52965,0.23648,0.01156,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
