epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0753,0.95234,3.79441,0.02295,0.86133,0.18126,0.20099,0.16263,0.98309,2.10345,0.02981,0.00197487,0.00197487,0.0688395
2,124.507,0.9837,1.68302,0.0238,0.53287,0.33769,0.32752,0.27405,1.11928,1.88231,0.0354,0.00369567,0.00369567,0.0373061
3,170.244,1.00539,1.33975,0.02401,0.3202,0.35081,0.30435,0.24892,1.06157,2.05328,0.03257,0.00515485,0.00515485,0.00551114
4,211.648,0.97421,1.15126,0.02337,0.33051,0.36042,0.31124,0.26185,1.07042,1.86899,0.03256,0.00477992,0.00477992,0.00477992
5,252.429,0.94201,1.04513,0.02232,0.3112,0.30134,0.28148,0.22278,1.14089,2.06625,0.03656,0.00438656,0.00438656,0.00438656
6,296.293,0.65075,0.50274,0.02105,0.33436,0.38123,0.3118,0.25852,1.13282,2.07749,0.03504,0.0039932,0.0039932,0.0039932
7,337.986,0.5831,0.39077,0.01821,0.35212,0.37922,0.32461,0.26946,1.10485,2.06006,0.03342,0.00359984,0.00359984,0.00359984
