epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,444.196,1.1598,2.12203,0.02114,0.71924,0.83716,0.85823,0.65406,0.83949,0.55744,0.02034,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,768.393,1.16545,1.14294,0.02127,0.88026,0.90294,0.92442,0.69255,0.91229,0.44395,0.02211,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,1054.03,1.24694,1.10321,0.02289,0.89146,0.86764,0.8939,0.66286,0.95322,0.44029,0.02354,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1325.1,1.2459,1.07141,0.0227,0.8879,0.9029,0.92185,0.72843,0.78737,0.38914,0.0186,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1596.52,1.18947,0.98783,0.02146,0.88903,0.86897,0.90198,0.7066,0.79658,0.41897,0.01876,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1867.97,1.14161,0.90754,0.02034,0.90548,0.92612,0.91931,0.73679,0.72686,0.3365,0.01681,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2140.09,1.10585,0.86693,0.01965,0.90521,0.90222,0.92337,0.74911,0.71286,0.33142,0.01655,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2411.92,1.08942,0.82836,0.01925,0.91659,0.91964,0.93075,0.76065,0.69679,0.3033,0.01583,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2684.23,1.07056,0.80875,0.01892,0.92084,0.9309,0.94436,0.78133,0.66917,0.28473,0.01515,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2956.56,1.05211,0.78679,0.0185,0.93322,0.91657,0.93816,0.77793,0.66563,0.29421,0.01506,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3228.38,1.03317,0.7613,0.01812,0.92596,0.92741,0.94327,0.78849,0.63521,0.28454,0.01449,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3499.75,1.02413,0.74369,0.01794,0.92917,0.93234,0.94649,0.79421,0.63554,0.27353,0.01456,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3771.77,1.00864,0.72068,0.01753,0.93194,0.92556,0.9379,0.79882,0.60358,0.25798,0.01344,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4044.25,0.99668,0.72113,0.01745,0.94676,0.93627,0.95385,0.80517,0.60538,0.25448,0.01344,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4316.73,0.98524,0.70294,0.01715,0.93611,0.92984,0.94674,0.80507,0.60593,0.2585,0.0137,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4588.69,0.97105,0.68877,0.0168,0.95017,0.93565,0.9528,0.81247,0.58372,0.25342,0.0129,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4860.95,0.96558,0.69417,0.0167,0.93899,0.93438,0.95329,0.81462,0.5852,0.25346,0.01294,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5133.19,0.95304,0.68616,0.01637,0.94774,0.93817,0.95167,0.81082,0.58957,0.25029,0.01305,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5404.46,0.94232,0.67134,0.01628,0.93595,0.94188,0.95116,0.814,0.58349,0.24918,0.0129,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5675.94,0.92894,0.65686,0.016,0.95611,0.92713,0.95695,0.82393,0.56631,0.23886,0.01238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5947.36,0.91788,0.64565,0.01587,0.94341,0.94384,0.95292,0.81576,0.56782,0.24078,0.01247,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6218.94,0.90726,0.62816,0.0156,0.95378,0.93183,0.95452,0.81917,0.57454,0.23566,0.01264,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6490.58,0.89178,0.62453,0.01526,0.94657,0.93809,0.95262,0.82112,0.5666,0.24058,0.01248,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6762.56,0.87978,0.62353,0.01506,0.94226,0.94515,0.95769,0.82353,0.55914,0.2433,0.01228,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7034.87,0.86376,0.61094,0.0148,0.94593,0.9481,0.95823,0.82613,0.55391,0.23829,0.0121,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,7306.77,0.85348,0.60791,0.01451,0.94339,0.94043,0.95879,0.82475,0.55244,0.23993,0.0121,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7579.03,0.85383,0.60438,0.01453,0.94776,0.93731,0.95649,0.8259,0.54928,0.23972,0.01199,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7850.9,0.83772,0.58276,0.01423,0.94323,0.94588,0.9572,0.82791,0.55208,0.23814,0.01203,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,8123.15,0.83068,0.57344,0.01415,0.95107,0.93532,0.95796,0.82893,0.54946,0.23296,0.01194,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8395.12,0.81804,0.56983,0.01384,0.94739,0.93992,0.95711,0.8292,0.54746,0.23384,0.01191,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8666.5,0.81103,0.56631,0.01371,0.95336,0.94236,0.95738,0.83105,0.54713,0.23214,0.01189,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8938.5,0.80459,0.55576,0.0136,0.94521,0.94416,0.96021,0.83136,0.54673,0.23108,0.01187,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9210.14,0.79512,0.55787,0.01342,0.94888,0.94512,0.9576,0.82904,0.54594,0.23208,0.01188,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9481.55,0.7902,0.54195,0.01335,0.94825,0.93978,0.95898,0.83051,0.54577,0.23274,0.01187,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9753.02,0.77893,0.54383,0.01314,0.9368,0.94168,0.95902,0.82874,0.54458,0.23656,0.0119,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10024.1,0.77095,0.54384,0.01305,0.93992,0.94336,0.95676,0.8291,0.54347,0.23786,0.01187,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10295.1,0.76086,0.53164,0.0128,0.93905,0.93987,0.95784,0.82882,0.54246,0.2383,0.01183,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10566.5,0.75172,0.51928,0.01267,0.93638,0.9354,0.95817,0.82909,0.54125,0.23959,0.0118,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10837.4,0.74062,0.51976,0.01244,0.95304,0.9319,0.95914,0.83123,0.5396,0.23759,0.01181,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11108.4,0.73406,0.5071,0.01228,0.95125,0.92996,0.95976,0.83216,0.53904,0.23569,0.01179,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
