epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,401.517,1.17081,2.23485,0.0213,0.76081,0.77644,0.84226,0.64988,0.83043,0.66919,0.01936,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,697.272,1.19631,1.31203,0.02194,0.78722,0.8398,0.88718,0.66383,0.91238,0.5407,0.02161,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,959.365,1.25905,1.25309,0.02306,0.79567,0.86296,0.88467,0.66081,0.94219,0.57731,0.0232,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1208.83,1.27396,1.17314,0.0233,0.81901,0.87801,0.89118,0.69034,0.85274,0.45908,0.02052,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1459.47,1.22164,1.07465,0.02211,0.86252,0.87716,0.90191,0.71188,0.78661,0.44719,0.01877,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1709.96,1.17601,1.0275,0.02107,0.89029,0.88679,0.92657,0.73438,0.75147,0.40024,0.01759,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1960.05,1.14455,0.97451,0.02044,0.88064,0.88808,0.91634,0.73821,0.7577,0.39728,0.01761,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2210.08,1.12544,0.95161,0.01998,0.90097,0.88047,0.92431,0.74871,0.71132,0.377,0.01673,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2459.68,1.1049,0.9291,0.01968,0.8675,0.90981,0.92591,0.75703,0.70306,0.38556,0.01622,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2709.82,1.09355,0.90557,0.0193,0.87822,0.91323,0.91915,0.75945,0.6996,0.35801,0.0162,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2960.06,1.0818,0.86344,0.01913,0.88447,0.89808,0.92811,0.77515,0.65778,0.35392,0.01511,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3210.31,1.0723,0.84935,0.01893,0.91654,0.90654,0.93245,0.77979,0.67166,0.32575,0.0154,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3460.76,1.06177,0.84046,0.0187,0.90959,0.92076,0.93356,0.77687,0.66419,0.31056,0.01526,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3710.63,1.04735,0.81445,0.01853,0.92915,0.91175,0.94369,0.782,0.65651,0.3202,0.01506,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3960.71,1.03792,0.81339,0.01824,0.89796,0.91264,0.93229,0.78034,0.64956,0.30777,0.01468,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4210.37,1.02522,0.80286,0.01789,0.92015,0.90698,0.94324,0.79524,0.62348,0.30862,0.01416,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4460.4,1.01973,0.78688,0.01787,0.93107,0.91129,0.93689,0.79327,0.62924,0.29961,0.01424,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4709.95,1.01291,0.77278,0.01772,0.91989,0.92296,0.94397,0.79659,0.6165,0.29479,0.01387,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4960.03,1.00607,0.774,0.0176,0.92388,0.91981,0.93714,0.79324,0.62502,0.29504,0.01401,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5209.91,0.99748,0.76487,0.01751,0.92773,0.92154,0.94011,0.7991,0.6123,0.28935,0.01376,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5460.89,0.98446,0.74439,0.01727,0.91563,0.92061,0.93909,0.79751,0.61467,0.28172,0.01382,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
