epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8167.77,0.91017,0.66271,0.01575,0.92839,0.9377,0.94988,0.81976,0.57694,0.25208,0.01279,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8418.01,0.89467,0.661,0.01541,0.93259,0.9499,0.95016,0.81881,0.57736,0.2497,0.01279,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8668.21,0.88896,0.64271,0.01536,0.93146,0.94828,0.95059,0.82018,0.57581,0.25044,0.01277,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8918.45,0.88242,0.64247,0.01524,0.93415,0.94105,0.95162,0.82029,0.57508,0.24995,0.01273,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9168.36,0.87839,0.63518,0.01517,0.93318,0.94931,0.95434,0.82125,0.57364,0.24752,0.01269,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9417.6,0.86839,0.6233,0.01493,0.9305,0.95067,0.95333,0.82111,0.57193,0.25146,0.01266,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9667.78,0.8553,0.61467,0.01476,0.93383,0.94202,0.9554,0.82138,0.57199,0.24916,0.01266,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9918.03,0.84026,0.61772,0.01444,0.93547,0.93825,0.95553,0.8236,0.57214,0.24515,0.01268,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10168.5,0.83803,0.60602,0.01446,0.93342,0.94618,0.9567,0.82536,0.57161,0.24423,0.01267,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10417.4,0.69345,0.30936,0.01679,0.93395,0.93527,0.95309,0.82614,0.57057,0.24456,0.01264,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10664.8,0.67289,0.29628,0.01621,0.93107,0.94158,0.952,0.82485,0.56875,0.24401,0.01259,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10911.8,0.65565,0.28706,0.01571,0.94306,0.93949,0.95628,0.82625,0.56598,0.24205,0.0125,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11159.5,0.6481,0.28405,0.0155,0.93304,0.93822,0.95512,0.82527,0.56377,0.24421,0.01246,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11406.5,0.63147,0.27556,0.01506,0.9428,0.93437,0.9544,0.82519,0.56331,0.24362,0.01245,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11653.4,0.61568,0.269,0.01461,0.93679,0.9324,0.95249,0.82359,0.56187,0.24566,0.0124,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11900.7,0.60549,0.256,0.01436,0.93799,0.93568,0.95602,0.82665,0.56052,0.2431,0.01235,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12147.7,0.59598,0.25154,0.01419,0.94085,0.93553,0.95579,0.82611,0.55917,0.24194,0.01231,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12394.9,0.58698,0.24901,0.01392,0.94565,0.93342,0.95566,0.82686,0.5589,0.24057,0.0123,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12642.3,0.57744,0.24581,0.01368,0.94424,0.9312,0.95542,0.82749,0.55871,0.24191,0.01229,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
