epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,290.354,1.42321,2.49594,0.02681,0.71766,0.70406,0.76676,0.58288,0.86556,0.90877,0.02031,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134,0.00999403,0.00333134
2,510.784,1.35424,1.77886,0.02531,0.75619,0.71138,0.79627,0.59244,0.98209,0.79796,0.02415,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,711.835,1.37841,1.74034,0.02569,0.75914,0.72136,0.81087,0.59541,0.94211,0.73434,0.02278,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,906.536,1.37433,1.69043,0.02544,0.79982,0.78503,0.84271,0.62492,0.91088,0.66949,0.02178,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1101.33,1.35113,1.63539,0.02493,0.74996,0.77697,0.82397,0.62134,0.88561,0.69786,0.02128,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1296.48,1.3241,1.5824,0.0243,0.74889,0.78854,0.83305,0.6231,0.88896,0.6824,0.02097,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1491.98,1.31112,1.56678,0.02408,0.82063,0.76722,0.86406,0.65818,0.82903,0.62788,0.01929,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1687.61,1.29633,1.53808,0.0237,0.8278,0.79929,0.86933,0.665,0.83469,0.59188,0.0195,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1883.46,1.28658,1.5377,0.02354,0.80661,0.80501,0.86996,0.66437,0.81136,0.61512,0.0188,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2079.19,1.28465,1.52502,0.02346,0.82852,0.78523,0.86859,0.65958,0.8357,0.61019,0.01963,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2274.93,1.27334,1.51168,0.02323,0.79243,0.81919,0.86899,0.66703,0.80422,0.61117,0.01861,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2470.75,1.26239,1.50758,0.02299,0.82782,0.79654,0.86887,0.65805,0.82695,0.6106,0.0193,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2666.44,1.26401,1.50273,0.02293,0.80933,0.8079,0.87606,0.67751,0.80544,0.57722,0.01888,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2862.4,1.2553,1.48768,0.02299,0.81868,0.78602,0.87025,0.68225,0.79052,0.57608,0.01857,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3058.19,1.25063,1.48511,0.02275,0.84363,0.7778,0.87282,0.68516,0.77335,0.56252,0.01812,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3254.07,1.25089,1.47041,0.02275,0.87231,0.77323,0.88525,0.68924,0.79288,0.53931,0.01848,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3450.18,1.24519,1.47761,0.02271,0.84173,0.80679,0.8873,0.69044,0.78389,0.52464,0.01805,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3645.86,1.23507,1.47908,0.02242,0.83375,0.8306,0.88768,0.68929,0.77567,0.54198,0.01798,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3841.8,1.23923,1.4713,0.02254,0.8093,0.80765,0.87769,0.68791,0.78543,0.543,0.01834,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4037.86,1.23822,1.47091,0.02249,0.81792,0.84953,0.88943,0.69171,0.78272,0.53149,0.01801,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
